2023-11-12 21:19:17.101 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.service.PermServiceTest]: PermServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 21:19:17.103 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.service.PermServiceTest
2023-11-12 21:19:17.166 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-11-12 21:19:17.258 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-11-12 21:19:47.049 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 21:19:47.073 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - Starting BlogServerApplicationTests using Java 17.0.9 with PID 32276 (started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 21:19:47.075 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - The following 1 profile is active: "prod"
2023-11-12 21:19:51.000 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5c930fc3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@25c6ab3f, org.springframework.security.web.context.SecurityContextHolderFilter@71f8ce0e, org.springframework.security.web.header.HeaderWriterFilter@30b1c5d5, org.springframework.security.web.authentication.logout.LogoutFilter@58068b40, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@7b80af04, com.hp.blogserver.security.filter.LoginAuthenticationFilter@2447940d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1a8e44fe, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@71469e01, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@60ee7a51, org.springframework.security.web.access.ExceptionTranslationFilter@1ab28416, org.springframework.security.web.access.intercept.AuthorizationFilter@1818d00b]
2023-11-12 21:19:53.123 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 21:19:53.233 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - Started BlogServerApplicationTests in 6.486 seconds (process running for 7.17)
2023-11-12 21:19:54.092 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.DeptMapperTest]: DeptMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 21:19:54.103 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.DeptMapperTest
2023-11-12 21:19:54.168 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
